tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,cloudcover,visibility,moonphase,Date
15.9,8.3,11.7,11.4,7.6,76.9,0.4,40,8.33,23,14.4,1015.6,74.6,22.2,0.9,2023-03-18
15.4,9.4,11.7,11.3,7.7,77.2,0.6,49,8.33,27,18,1018.3,64.5,24.1,0.93,2023-03-19
12.8,8,10.2,9.5,6.6,78.3,3.1,58,20.83,36,24.1,1017.9,79.5,22.5,0.97,2023-03-20
12.5,8.6,10.5,9.1,7.2,80.3,10.9,69,33.33,43.9,28.4,1012.5,70.6,16.3,0,2023-03-21
12.4,6.7,9.1,7.2,5.2,76.8,3.9,67,29.17,38.5,25.6,1018.4,47.7,21.2,0.03,2023-03-22
11.3,5.7,8.3,8,3.4,72.1,0,71.4,0,8.6,9.7,1026.3,1,24.1,0.07,2023-03-23
14.7,6.4,9.9,9.2,3.8,67.5,1,23.8,4.17,51.5,23,1021,40,22.6,0.1,2023-03-24
10.7,7.5,9.2,6.6,5.9,79.8,10.1,47.6,33.33,49.2,31.3,1016,26.4,20.5,0.13,2023-03-25
12.4,6.8,9.1,7.8,4.7,74.6,0.7,38.1,16.67,29.8,20.5,1022.8,31.4,24.1,0.16,2023-03-26
14.3,5.8,9.9,9.8,4.4,70,0,38.1,0,8.6,9.4,1023.7,76.1,24.1,0.2,2023-03-27
16.5,8.9,12,12,5.6,66.6,0,14.3,0,10.8,6.5,1017.6,100,24.1,0.25,2023-03-28
13.2,9,10.5,10,6.8,78.6,11.8,14.3,25,34.6,13,1013.4,83.5,21.7,0.26,2023-03-29
19.9,9.5,14.3,26.2,7.1,64.6,0.4,9.5,4,29.5,24.1,1018.8,35,20.4,0.29,2023-03-30
20,9.1,14.2,26.8,6.7,63.7,1.4,9.5,4,35.6,25.2,1017.3,33.7,21.1,0.33,2023-03-31
19.3,8.8,13.8,27.1,6.4,64.4,0.7,0,0,31,25.2,1016.5,33.9,21.5,0.36,2023-04-01
19.1,9,13.5,28,6.6,66,0.9,4.8,2,36.4,25.9,1016.4,37.3,20.7,0.39,2023-04-02
18.4,8.8,13,5.2,6.4,66.1,0.8,0,0,33.8,26.6,1017.5,37.8,21.4,0.42,2023-04-03
17.5,8.9,12.9,5.4,6.1,65.9,1.9,4.8,2,37.8,24.5,1017.8,46,20.2,0.45,2023-04-04
18,9.1,13.2,26.3,6.2,64.6,1.1,0,0,29.5,24.1,1017.9,44.8,22,0.5,2023-04-05
