tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,cloudcover,visibility,moonphase,Date
12.4,2.3,7.5,7,3.5,76.6,0,0,0,11.2,9.4,1018.1,7.1,13.9,0.85,2022-12-18
9.4,4,6.6,4.9,3.1,78.4,0,0,0,9.4,13.9,1024.6,53.1,10.7,0.88,2022-12-19
12.6,7,9.2,8.9,4.7,73.7,0.05,100,4.17,9.4,9.5,1027.6,42.6,10.8,0.91,2022-12-20
14,5.2,9.5,9.5,4.2,70.2,0,0,0,11.2,9.5,1025.1,23.2,14.2,0.95,2022-12-21
13.4,7.5,10.3,10,5.7,73.3,0,0,0,7.6,12.2,1021.4,52.1,12.7,0.98,2022-12-22
14.4,8.8,11,10.7,7.2,78,0,0,0,11.2,11.4,1024.2,46.5,9,0,2022-12-23
15.3,6.9,11.1,11.1,7.1,76.8,0,0,0,13,7.8,1028.3,24.4,11.3,0.05,2022-12-24
15.9,7.6,11.6,11.5,8.2,80.1,0,0,0,9.4,11.6,1025.2,35.1,13.6,0.08,2022-12-25
13.8,9,10.9,10.6,8.4,84.7,3.077,100,20.83,50,22.8,1019.7,63.9,9.8,0.12,2022-12-26
14.9,10.1,13.4,13.4,11.2,86.7,30.179,100,66.67,79.6,32.8,1012.7,88.5,10.2,0.15,2022-12-27
13.8,6.3,10,9.9,6.9,81.7,0,0,0,16.6,18,1015.3,63.2,14.7,0.19,2022-12-28
12.9,9.6,11.1,10.6,9.3,88.9,7.942,100,70.83,27.7,20.7,1013.1,99.5,12.4,0.25,2022-12-29
16.7,13.1,15.1,15.1,13.6,91,14.143,100,79.17,62.1,29.1,1014.6,97.6,9.4,0.25,2022-12-30
15.6,11.1,13.5,13.5,11.9,89.9,62.728,100,87.5,55.4,30.7,1007.1,97.2,8.5,0.29,2022-12-31
16.1,7.8,11.5,11,5.3,67.7,24.49,100,4.17,44.3,25.7,1011.3,30.9,15.8,0.32,2023-01-01
11,7.1,9.1,7.6,3.9,70.8,7.072,100,33.33,61.2,31.1,1011.5,75.2,14.6,0.36,2023-01-02
13,9,10.8,10.1,7.4,79.7,0,0,0,35.3,18.9,1014.8,83.8,15.6,0.39,2023-01-03
16.1,9.2,13,12.9,9.7,80.8,22.67,100,62.5,74.2,41.8,1007.8,89.6,13.2,0.43,2023-01-04
14.4,10.8,12.8,12.8,9.4,80.1,12.491,100,37.5,72,32.6,1012.4,87.7,13.6,0.46,2023-01-05
16.3,9.7,12.6,12.5,7.5,72,0,0,0,50,21.3,1023,80.9,15.7,0.5,2023-01-06
16.6,11.3,13.4,13.4,5.7,61,2.457,100,20.83,74.3,47.5,1015.5,89.4,15.8,0.53,2023-01-07
16.7,11.8,14,14,10,77.3,10.121,100,29.17,76.4,43.5,1015,80.1,15.1,0.56,2023-01-08
15.4,10.3,13.8,13.8,10.9,83.5,26.597,100,41.67,61.5,34.9,1007.9,81.5,12.1,0.6,2023-01-09
14,11,12.5,12.5,8.4,76,9.632,100,50,71.5,34.4,1010,86.1,15,0.63,2023-01-10
14.7,10.8,12.7,12.7,9.6,81.4,6.064,100,50,63,35.2,1018.5,90.5,14.7,0.66,2023-01-11
19.2,12.8,15.4,15.4,9.1,67.2,0,0,0,51.8,22.4,1019.3,66.6,16,0.7,2023-01-12
15.5,12.5,14.2,14.2,9.1,72.8,10.58,100,45.83,55.4,26,1015.8,80.4,14.4,0.73,2023-01-13
15.1,11,13.2,13.2,10.4,83.1,22.288,100,75,66.1,42,1006.9,95.5,13.3,0.75,2023-01-14
12.2,9,10.4,9.8,8,84.7,13.484,100,62.5,42.5,19,1005.6,91.2,14.2,0.8,2023-01-15
12.6,7.5,10.2,9,6.3,77,19.054,100,33.33,53.6,33.3,1005,72.8,14,0.83,2023-01-16
13.2,4.7,8.6,8.4,4.3,76,0,0,0,35.3,12.4,1016.3,12,16,0.86,2023-01-17
13.4,4.7,9.3,8.9,5.2,76.8,3.258,100,8.33,22.3,17.6,1021.3,47.7,15.7,0.9,2023-01-18
11.8,7,9.3,8.7,4.9,74.5,0.654,100,8.33,25.9,20.1,1023.2,49.3,15.8,0.93,2023-01-19
13,5.5,8.8,7.6,-0.1,55.1,0,0,0,40.7,19.5,1026.1,0.9,16,0.97,2023-01-20
13.4,2.8,7.7,7.3,1.3,65.3,0,0,0,14.8,12.7,1029,24.2,16,0,2023-01-21
15.6,5.5,10.2,9.9,0.7,56.7,0,0,0,57.2,28.3,1023,23.7,15.9,0.03,2023-01-22
